ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
nan$,nan$,nan$,,,,,,,,,,,,,,,,,,usa,,,,
,,,,,,,,,,,,,,,,,,,,usa,,,,
10280.0,22.0,100.0,10.0,4455.0,8/17/2004 0:00,Shipped,3.0,8.0,2004.0,Vintage Cars,168.0,S18_2795,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Medium
10203.0,20.0,100.0,8.0,3930.4,12/2/2003 0:00,Shipped,4.0,12.0,2003.0,Classic Cars,194.0,S12_1099,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10372.0,44.0,100.0,2.0,4496.8,1/26/2005 0:00,Shipped,1.0,1.0,2005.0,Ships,86.0,S700_1938,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Medium
10195.0,50.0,100.0,10.0,7620.5,11/25/2003 0:00,Shipped,4.0,11.0,2003.0,Classic Cars,169.0,S18_3232,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,Large
10371.0,48.0,56.55,10.0,2714.4,1/23/2005 0:00,Shipped,1.0,1.0,2005.0,Trucks and Buses,115.0,S50_1392,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Small
10319.0,43.0,85.69,2.0,3684.67,11/3/2004 0:00,Shipped,4.0,11.0,2004.0,Classic Cars,80.0,S24_4620,Microscale Inc.,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,,Kuo,Kee,Medium
10130.0,40.0,96.34,2.0,3853.6,6/16/2003 0:00,Shipped,2.0,6.0,2003.0,Ships,86.0,S18_3029,Auto-Moto Classics Inc.,6175558428,16780 Pompton St.,,Brickhaven,MA,58339,USA,,Taylor,Leslie,Medium
10405.0,47.0,44.56,2.0,2094.32,4/14/2005 0:00,Shipped,2.0,4.0,2005.0,Classic Cars,37.0,S24_2972,Mini Caravy,88.60.1555,"24, place Kluber",,Strasbourg,,67000,Usa ,EMEA,Citeaux,Frederique,Small
10223.0,23.0,74.62,10.0,1716.26,2/20/2004 0:00,Shipped,1.0,2.0,2004.0,Planes,72.0,S24_4278,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
10292.0,26.0,100.0,7.0,4554.94,9/8/2004 0:00,Shipped,3.0,9.0,2004.0,Classic Cars,163.0,S18_2238,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium
10141.0,24.0,45.99,7.0,1103.76,8/1/2003 0:00,Shipped,3.0,8.0,2003.0,Trucks and Buses,54.0,S32_2509,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Usa ,EMEA,Suominen,Kalle,Small
521250.0,4850.0,5000.0,8.0,2626.8,11/3/2004 0:00,Shipped,4.0,11.0,2004.0,Motorcycles,102.0,S32_4485,Microscale Inc.,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,usa,,Kuo,Kee,Small
10161.0,36.0,100.0,10.0,5544.0,10/17/2003 0:00,Shipped,4.0,10.0,2003.0,Classic Cars,141.0,S18_3685,Heintze Collectables,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,Medium
10160.0,42.0,37.0,2.0,1554.0,10/11/2003 0:00,Shipped,4.0,10.0,2003.0,Classic Cars,37.0,S24_2972,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,,Los Angeles,CA,,USA,,Chandler,Michael,Small
10184.0,37.0,100.0,6.0,4516.22,11/14/2003 0:00,Shipped,4.0,11.0,2003.0,Trucks and Buses,118.0,S12_4473,"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",,Sevilla,,41101,Spain,EMEA,Roel,Jose Pedro,Medium
10401.0,62.0,77.73,6.0,4819.26,4/3/2005 0:00,On Hold,2.0,4.0,2005.0,Vintage Cars,68.0,S32_4289,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,???,NJ,94019,usa,,Brown,William,Medium
10193.0,24.0,97.55,15.0,2341.2,11/21/2003 0:00,Shipped,4.0,11.0,2003.0,Vintage Cars,92.0,S18_4409,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,Small
10328.0,34.0,100.0,6.0,3815.48,11/12/2004 0:00,Shipped,4.0,11.0,2004.0,Vintage Cars,105.0,S18_3856,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,Medium
10420.0,55.0,96.3,8.0,5296.5,5/29/2005 0:00,In Process,2.0,5.0,2005.0,Classic Cars,117.0,S24_2887,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,usa,APAC,Huxley,Adrian,Medium
10214.0,27.0,100.0,4.0,3604.23,1/26/2004 0:00,Shipped,1.0,1.0,2004.0,Vintage Cars,127.0,S18_2325,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Medium
10171.0,35.0,100.0,1.0,4680.2,11/5/2003 0:00,Shipped,4.0,11.0,2003.0,Classic Cars,142.0,S18_1984,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,usa,,Fresnisre,Jean,Medium
10137.0,31.0,100.0,4.0,5124.3,7/10/2003 0:00,Shipped,3.0,7.0,2003.0,Classic Cars,141.0,S18_3685,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Medium
10285.0,36.0,100.0,6.0,4099.68,8/27/2004 0:00,Shipped,3.0,8.0,2004.0,Motorcycles,95.0,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,usa,,Hernandez,Marta,Medium
10281.0,25.0,99.29,10.0,2482.25,8/19/2004 0:00,Shipped,3.0,8.0,2004.0,Trucks and Buses,121.0,S18_4600,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,Usa ,,Yu,Kyung,Small
10373.0,33.0,57.32,12.0,1891.56,1/31/2005 0:00,Shipped,1.0,1.0,2005.0,Vintage Cars,88.0,S24_3151,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,,???,,90110,Finland,EMEA,Koskitalo,Pirkko,Small
10339.0,50.0,57.86,8.0,2893.0,11/23/2004 0:00,Shipped,4.0,11.0,2004.0,Planes,74.0,S700_4002,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10313.0,25.0,100.0,3.0,4572.25,10/22/2004 0:00,Shipped,4.0,10.0,2004.0,Classic Cars,169.0,S18_3232,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,Medium
10181.0$,39.0$,100.0$,4.0,5785.26,11/12/2003 0:00,Shipped,4.0,11.0,2003.0,Classic Cars,141.0,S18_3685,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10267.0,36.0,75.55,1.0,2719.8,7/7/2004 0:00,Shipped,3.0,7.0,2004.0,Classic Cars,71.0,S18_4933,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Small
10207.0,47.0,100.0,16.0,6658.02,12/9/2003 0:00,Shipped,4.0,12.0,2003.0,Trucks and Buses,121.0,S18_4600,Diecast Collectables,6175552555,6251 Ingle Ln.,,Boston,MA,51003,usa,,Franco,Valarie,Medium
10341.0,34.0,100.0,5.0,3644.12,11/24/2004 0:00,Shipped,4.0,11.0,2004.0,Planes,80.0,S700_3167,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium
10390.0$,26.0$,78.11$,7.0,2030.86,3/4/2005 0:00,Shipped,1.0,3.0,2005.0,Vintage Cars,168.0,S18_2795,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Small
10215.0,33.0,43.13,9.0,1423.29,1/29/2004 0:00,Shipped,1.0,1.0,2004.0,Vintage Cars,53.0,S18_1367,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,usa,,Thompson,Steve,Small
10195.0,32.0,43.29,8.0,1385.28,11/25/2003 0:00,Shipped,4.0,11.0,2003.0,Trucks and Buses,54.0,S32_2509,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,Small
10271.0,20.0,100.0,9.0,3928.6,7/20/2004 0:00,Shipped,3.0,7.0,2004.0,Classic Cars,169.0,S18_3232,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium
10411.0,27.0,100.0,2.0,4427.73,5/1/2005 0:00,Shipped,2.0,5.0,2005.0,Classic Cars,147.0,S10_4962,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,Medium
10420.0$,36.0$,57.73$,7.0,2078.28,5/29/2005 0:00,In Process,2.0,5.0,2005.0,Classic Cars,71.0,S18_4933,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Usa ,APAC,Huxley,Adrian,Small
10215.0,46.0,100.0,2.0,5152.0,1/29/2004 0:00,Shipped,1.0,1.0,2004.0,Trucks and Buses,116.0,S18_1097,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,,Thompson,Steve,Medium
10237.0,39.0,100.0,9.0,7023.9,4/5/2004 0:00,Shipped,2.0,4.0,2004.0,Motorcycles,193.0,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Large
10295.0$,34.0$,100.0$,5.0,3473.78,9/10/2004 0:00,Shipped,3.0,9.0,2004.0,Ships,100.0,S700_3505,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,usa,,Yoshido,Juri,Medium
10192.0$,26.0$,100.0$,12.0,3918.46,11/20/2003 0:00,Shipped,4.0,11.0,2003.0,Classic Cars,169.0,S18_3232,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,Usa ,,Young,Valarie,Medium
10142.0,43.0,84.01,9.0,3612.43,8/8/2003 0:00,Shipped,3.0,8.0,2003.0,Ships,86.0,S700_1938,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium
10207.0,31.0,100.0,15.0,4076.19,12/9/2003 0:00,Shipped,4.0,12.0,2003.0,Classic Cars,147.0,S10_4962,Diecast Collectables,6175552555,6251 Ingle Ln.,,???,MA,51003,usa,,Franco,Valarie,Medium
10291.0,41.0,100.0,8.0,6387.8,9/8/2004 0:00,Shipped,3.0,9.0,2004.0,Trucks and Buses,136.0,S12_1666,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,???,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium
10305.0,36.0,100.0,1.0,4641.48,10/13/2004 0:00,Shipped,4.0,10.0,2004.0,Classic Cars,118.0,S24_4048,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium
10270.0,38.0,100.0,3.0,5383.08,7/19/2004 0:00,Shipped,3.0,7.0,2004.0,Trucks and Buses,121.0,S18_4600,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
10275.0,25.0,95.2,11.0,2380.0,7/23/2004 0:00,Shipped,3.0,7.0,2004.0,Planes,109.0,S24_1785,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
10363.0,46.0,88.45,6.0,4068.7,1/6/2005 0:00,Shipped,1.0,1.0,2005.0,Classic Cars,115.0,S12_4675,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Medium
,,,,,,,,,,,,,,,,,,,,,,,,
10318.0,47.0,100.0,7.0,5305.36,11/2/2004 0:00,Shipped,4.0,11.0,2004.0,Motorcycles,99.0,S32_1374,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Medium
10182.0,44.0,100.0,10.0,7554.8,11/12/2003 0:00,Shipped,4.0,11.0,2003.0,Vintage Cars,170.0,S18_1749,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,usa,,Nelson,Valarie,Large
nan$,nan$,nan$,,,,,,,,,,,,,,,,,,,,,,
10339.0,27.0,76.31,6.0,2060.37,11/23/2004 0:00,Shipped,4.0,11.0,2004.0,Planes,49.0,S72_1253,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Usa ,Japan,Shimamura,Akiko,Small
,,,,,,,,,,,,,,,,,,,,,,,,
10309.0,50.0,84.7,3.0,4235.0,10/15/2004 0:00,Shipped,4.0,10.0,2004.0,Motorcycles,102.0,S32_4485,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10196.0,27.0,100.0,8.0,4537.08,11/26/2003 0:00,Shipped,4.0,11.0,2003.0,Classic Cars,143.0,S18_4027,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,Medium
10150.0,47.0,91.18,9.0,4285.46,9/19/2003 0:00,Shipped,3.0,9.0,2003.0,Vintage Cars,101.0,S18_2949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium
10223.0,34.0,100.0,11.0,3608.76,2/20/2004 0:00,Shipped,1.0,2.0,2004.0,Planes,109.0,S24_1785,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Usa ,APAC,Ferguson,Peter,Medium
10190.0,40.0,66.72,2.0,2668.8,11/19/2003 0:00,Shipped,4.0,11.0,2003.0,Motorcycles,81.0,S50_4713,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,usa,EMEA,Freyre,Diego,Small
10358.0,32.0,93.49,12.0,2991.68,12/10/2004 0:00,Shipped,4.0,12.0,2004.0,Classic Cars,169.0,S18_3232,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small
10275.0,32.0,89.51,14.0,2864.32,7/23/2004 0:00,Shipped,3.0,7.0,2004.0,Planes,91.0,S700_1691,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,???,,44000,France,EMEA,Labrune,Janine,Small
10328.0,24.0,81.17,5.0,1948.08,11/12/2004 0:00,Shipped,4.0,11.0,2004.0,Vintage Cars,68.0,S32_4289,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,Small
10363.0,28.0,58.18,13.0,1629.04,1/6/2005 0:00,Shipped,1.0,1.0,2005.0,Classic Cars,148.0,S18_4721,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Small
10316.0,34.0,63.71,10.0,2166.14,11/1/2004 0:00,Shipped,4.0,11.0,2004.0,Planes,68.0,S24_2841,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,Small
10425.0,18.0,100.0,2.0,1895.94,5/31/2005 0:00,In Process,2.0,5.0,2005.0,Trucks and Buses,115.0,S50_1392,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
10279.0,49.0,79.97,3.0,3918.53,8/9/2004 0:00,Shipped,3.0,8.0,2004.0,Classic Cars,90.0,S24_2766,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,???,,28034,Spain,EMEA,Freyre,Diego,Medium
10378.0,28.0,100.0,9.0,4609.64,2/10/2005 0:00,Shipped,1.0,2.0,2005.0,Motorcycles,62.0,S18_3782,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10248.0,30.0,100.0,5.0,3053.7,5/7/2004 0:00,Cancelled,2.0,5.0,2004.0,Vintage Cars,88.0,S24_3151,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,Usa ,,Yu,Kwai,Medium
10340.0,55.0,100.0,2.0,6482.85,11/24/2004 0:00,Shipped,4.0,11.0,2004.0,Motorcycles,99.0,S32_1374,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",,Barcelona,,8022,Usa ,EMEA,Saavedra,Eduardo,Medium
521250.0,4850.0,5000.0,6.0,2650.62,10/15/2004 0:00,Shipped,4.0,10.0,2004.0,Motorcycles,112.0,S24_1578,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Small
10201.0,30.0,64.81,6.0,1944.3,12/1/2003 0:00,Shipped,4.0,12.0,2003.0,Motorcycles,60.0,S18_2625,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Small
10252.0,26.0,100.0,4.0,3559.4,5/26/2004 0:00,Shipped,2.0,5.0,2004.0,Classic Cars,148.0,S18_4721,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
,,,,,,,,,,,,,,,,,,,,,,,,
10253.0,24.0,100.0,13.0,3922.56,6/1/2004 0:00,Cancelled,2.0,6.0,2004.0,Classic Cars,194.0,S12_1099,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Medium
10229.0,26.0,100.0,4.0,3765.32,3/11/2004 0:00,Shipped,1.0,3.0,2004.0,Trucks and Buses,122.0,S18_2319,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium
10145.0,37.0,100.0,9.0,5192.95,8/25/2003 0:00,Shipped,3.0,8.0,2003.0,Motorcycles,118.0,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,Usa ,,Young,Julie,Medium
10425.0,49.0,100.0,9.0,5510.54,5/31/2005 0:00,In Process,2.0,5.0,2005.0,Trucks and Buses,127.0,S24_2300,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,usa,EMEA,Labrune,Janine,Medium
10347.0,45.0,100.0,4.0,5884.65,11/29/2004 0:00,Shipped,4.0,11.0,2004.0,Trucks and Buses,121.0,S18_4600,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,usa,APAC,Ferguson,Peter,Medium
10253.0,25.0,90.17,14.0,2254.25,6/1/2004 0:00,Cancelled,2.0,6.0,2004.0,Classic Cars,79.0,S12_3990,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small
10210.0,31.0,86.4,13.0,2678.4,1/12/2004 0:00,Shipped,1.0,1.0,2004.0,Planes,80.0,S700_3167,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Small
10243.0,47.0,100.0,2.0,6154.18,4/26/2004 0:00,Shipped,2.0,4.0,2004.0,Vintage Cars,127.0,S18_2325,Diecast Collectables,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,,Franco,Valarie,Medium
10382.0$,39.0$,100.0$,2.0,7827.3,2/17/2005 0:00,Shipped,1.0,2.0,2005.0,Vintage Cars,50.0,S18_4668,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,usa,,Nelson,Valarie,Large
10135.0,44.0,96.0,15.0,4224.0,7/2/2003 0:00,Shipped,3.0,7.0,2003.0,Motorcycles,81.0,S50_4713,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,???,CA,97562,USA,,Nelson,Valarie,Medium
10332.0,23.0,56.84,4.0,1307.32,11/17/2004 0:00,Shipped,4.0,11.0,2004.0,Classic Cars,73.0,S24_1046,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,Usa ,EMEA,Ashworth,Victoria,Small
10152.0,23.0,100.0,3.0,2802.09,9/25/2003 0:00,Shipped,3.0,9.0,2003.0,Classic Cars,118.0,S24_4048,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Small
10425.0,33.0,100.0,4.0,4692.6,5/31/2005 0:00,In Process,2.0,5.0,2005.0,Trucks and Buses,118.0,S12_4473,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,usa,EMEA,Labrune,Janine,Medium
10195.0,49.0,100.0,6.0,6445.46,11/25/2003 0:00,Shipped,4.0,11.0,2003.0,Trucks and Buses,118.0,S12_4473,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,usa,,Frick,Steve,Medium
10217.0,39.0,62.05,7.0,2419.95,2/4/2004 0:00,Shipped,1.0,2.0,2004.0,Trucks and Buses,64.0,S32_3522,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Small
10250.0,45.0,100.0,14.0,8160.3,5/11/2004 0:00,Shipped,2.0,5.0,2004.0,Planes,157.0,S18_1662,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,Usa ,,Frick,Sue,Large
10165.0,34.0,100.0,4.0,4880.02,10/22/2003 0:00,Shipped,4.0,10.0,2003.0,Classic Cars,151.0,S12_3148,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium
10348.0,32.0,82.83,7.0,2650.56,11/1/2004 0:00,Shipped,4.0,11.0,2004.0,Classic Cars,101.0,S700_2824,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Small
10386.0,25.0,54.57,7.0,1364.25,3/1/2005 0:00,Resolved,1.0,3.0,2005.0,Planes,157.0,S18_1662,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small
10355.0,28.0,95.39,9.0,2670.92,12/7/2004 0:00,Shipped,4.0,12.0,2004.0,Classic Cars,80.0,S24_4620,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small
,,,,,,,,,,,,,,,,,,,,,,,,
