Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38.0,No,Travel_Rarely,1333.0,Research & Development,1.0,3.0,Technical Degree,1.0,950.0,,Female,80.0,,3.0,Research Director,1.0,Married,,16292.0,1.0,Y,,13.0,3.0,2.0,80.0,,15.0,3.0,3.0,15.0,,5.0,11.0
54.0,No,Travel_Rarely,1441.0,Research & Development,17.0,3.0,Technical Degree,1.0,,,Female,56.0,3.0,3.0,,3.0,Married,10739.0,13943.0,8.0,Y,No,11.0,3.0,3.0,80.0,1.0,22.0,2.0,3.0,,7.0,0.0,8.0
Yes ,,Travel_Rarely,1469.0USD,Research & Development,20.0USD,4.0,,1.0,,,Male,51.0,3.0,,,3.0,Married,2259.0,5543.0,4.0,Y,No,17.0,,,80.0,2.0,13.0,,2.0,0.0,0.0,0.0,0.0
Yes ,No,Travel_Rarely,59920.0,Research & Development,1160.0,,,1.0,389.0,2.0,Male,37.0,3.0,2.0,Laboratory Technician,,Married,5415.0,,3.0,Y,Yes,19.0,3.0,,80.0,1.0,12.0,4.0,3.0,10.0,,0.0,
Yes ,No,Travel_Rarely,801.0,Sales,,,,1.0,2016.0,,Female,48.0,3.0,3.0,,4.0,Married,10422.0,24032.0,1.0,Y,No,19.0,3.0,,,2.0,14.0,3.0,3.0,14.0,10.0,5.0,7.0
35.0USD,No,Travel_Rarely,992.0USD,,1.0USD,3.0,,,1564.0,,Male,68.0,2.0,1.0,Laboratory Technician,1.0,Single,2450.0,21731.0,1.0,Y,,19.0,3.0,,80.0,0.0,,3.0,,3.0,0.0,,2.0
40.0USD,No,,nanUSD,Research & Development,8.0USD,2.0,,1.0,1724.0,2.0,Female,92.0,3.0,2.0,,,Married,6516.0,5041.0,2.0,Y,Yes,16.0,,2.0,,,18.0,3.0,3.0,,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,Travel_Rarely,408.0,Research & Development,19.0,2.0,,1.0,61.0,2.0,,73.0,3.0,1.0,Research Scientist,2.0,,,,4.0,Y,No,,4.0,,80.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0
,,Travel_Rarely,1117.0,,8.0,,Life Sciences,1.0,395.0,4.0,Female,66.0,3.0,1.0,Research Scientist,4.0,Single,3310.0,,1.0,Y,No,21.0,4.0,4.0,80.0,0.0,5.0,3.0,3.0,5.0,3.0,0.0,
,No,Travel_Rarely,867.0,Research & Development,9.0,2.0,Medical,1.0,,1.0,Male,87.0,3.0,2.0,Manufacturing Director,,,,12315.0,1.0,,No,25.0,,4.0,80.0,1.0,,3.0,3.0,10.0,0.0,7.0,9.0
47.0,No,Travel_Rarely,,Research & Development,4.0,3.0,Life Sciences,1.0,1827.0,3.0,Female,92.0,,3.0,Manufacturing Director,2.0,Divorced,10333.0,19271.0,8.0,Y,Yes,12.0,3.0,3.0,80.0,1.0,28.0,4.0,3.0,22.0,,14.0,10.0
30.0,,Travel_Rarely,1092.0,Research & Development,10.0,3.0,Medical,1.0,1816.0,1.0,Female,64.0,,,Manufacturing Director,,Single,,,9.0,Y,No,14.0,,2.0,80.0,0.0,9.0,,3.0,,7.0,0.0,2.0
yes,No,Travel_Rarely,819.0,Research & Development,2.0,,,1.0,1182.0,3.0,,44.0,2.0,3.0,Manufacturing Director,2.0,Divorced,,,2.0,Y,No,18.0,3.0,,80.0,1.0,15.0,2.0,,7.0,7.0,6.0,
51.0,No,,1178.0,,14.0,2.0,Life Sciences,1.0,500.0,3.0,,,3.0,,,4.0,,4936.0,14862.0,4.0,Y,No,11.0,3.0,3.0,,1.0,,,2.0,7.0,,0.0,7.0
35.0,No,Non-Travel,1225.0,Research & Development,2.0,4.0,Life Sciences,1.0,771.0,,,,3.0,2.0,Healthcare Representative,1.0,Divorced,5093.0,,2.0,Y,No,11.0,3.0,1.0,80.0,,16.0,2.0,4.0,1.0,0.0,0.0,0.0
Yes ,Yes,Travel_Frequently,1445.0,Research & Development,,5.0,,,1459.0,3.0,Female,100.0,4.0,3.0,Manufacturing Director,2.0,Single,7446.0,8931.0,1.0,Y,No,,3.0,1.0,80.0,0.0,10.0,2.0,3.0,,8.0,,7.0
57.0USD,No,Travel_Rarely,210.0USD,Sales,29.0USD,3.0,Marketing,,,1.0,Male,56.0,2.0,4.0,Manager,,Divorced,14118.0,22102.0,3.0,Y,No,,,3.0,,,,3.0,2.0,1.0,0.0,0.0,
35.0,Yes,,104.0,Research & Development,,3.0,Life Sciences,1.0,1569.0,1.0,Female,69.0,3.0,1.0,Laboratory Technician,1.0,Divorced,,26619.0,1.0,Y,Yes,12.0,3.0,4.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0
31.0,No,Non-Travel,979.0,,1.0,4.0,Medical,,308.0,,,90.0,1.0,2.0,Manufacturing Director,3.0,,4345.0,4381.0,,Y,No,12.0,3.0,4.0,80.0,,6.0,2.0,3.0,5.0,4.0,1.0,4.0
31.0,No,Non-Travel,325.0,Research & Development,5.0,,Medical,1.0,2057.0,2.0,,74.0,3.0,2.0,,1.0,Single,,3787.0,0.0,Y,No,19.0,3.0,2.0,80.0,0.0,10.0,2.0,3.0,9.0,,1.0,7.0
19.0,Yes,Travel_Rarely,,Research & Development,,3.0,Life Sciences,,243.0,2.0,,47.0,,,Laboratory Technician,4.0,Single,1102.0,,,Y,No,,4.0,3.0,80.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,No,Travel_Rarely,750.0,Research & Development,12.0,3.0,Life Sciences,1.0,,2.0,Female,47.0,3.0,2.0,Healthcare Representative,1.0,Divorced,4448.0,10748.0,2.0,Y,No,12.0,3.0,2.0,80.0,1.0,15.0,,3.0,7.0,4.0,,7.0
,,Travel_Rarely,770.0,,10.0,4.0,Marketing,1.0,1119.0,3.0,,73.0,2.0,,Sales Executive,3.0,Divorced,8740.0,5569.0,0.0,Y,Yes,14.0,,2.0,80.0,2.0,9.0,2.0,,8.0,,2.0,
yes,No,Travel_Frequently,957.0,Research & Development,28.0,3.0,Medical,1.0,171.0,2.0,Female,72.0,4.0,1.0,Research Scientist,3.0,Single,4739.0,16090.0,4.0,,No,12.0,3.0,4.0,80.0,0.0,,2.0,3.0,3.0,2.0,1.0,2.0
27.0,,Travel_Rarely,1469.0,Research & Development,1.0,2.0,Medical,1.0,497.0,4.0,Male,82.0,3.0,,Laboratory Technician,2.0,Divorced,3816.0,,,,,11.0,3.0,2.0,80.0,1.0,5.0,,3.0,5.0,2.0,0.0,4.0
32.0,No,,1401.0,Sales,4.0,2.0,,1.0,330.0,3.0,Female,56.0,3.0,1.0,Sales Representative,2.0,Married,3931.0,,2.0,Y,No,11.0,3.0,1.0,80.0,,6.0,5.0,3.0,4.0,,1.0,
42.0,No,Travel_Frequently,,Research & Development,,2.0,Medical,1.0,1480.0,1.0,Female,,3.0,1.0,Laboratory Technician,,,3673.0,16458.0,1.0,Y,No,,,3.0,80.0,0.0,12.0,3.0,,,9.0,5.0,8.0
36.0,No,Travel_Rarely,132.0,Research & Development,6.0,3.0,Life Sciences,1.0,97.0,2.0,Female,55.0,4.0,,Laboratory Technician,,Married,3038.0,22002.0,3.0,Y,,,3.0,2.0,80.0,0.0,5.0,,,1.0,0.0,,0.0
34.0USD,No,Travel_Frequently,648.0USD,Human Resources,11.0USD,3.0,,1.0,,3.0,Male,56.0,2.0,,Human Resources,2.0,Married,4490.0,,4.0,Y,No,11.0,3.0,4.0,80.0,2.0,14.0,5.0,,10.0,9.0,,8.0
27.0,No,Non-Travel,1277.0,,8.0,,,1.0,1094.0,1.0,,,1.0,1.0,Laboratory Technician,3.0,Married,4621.0,5869.0,1.0,Y,,19.0,,,,3.0,3.0,4.0,3.0,3.0,2.0,,2.0
yes,No,,541.0,Sales,2.0,1.0,Technical Degree,1.0,113.0,3.0,Male,62.0,,1.0,Sales Representative,1.0,Divorced,2322.0,9518.0,3.0,Y,No,13.0,3.0,3.0,80.0,1.0,3.0,3.0,3.0,0.0,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,,216.0,Sales,,4.0,,1.0,1047.0,2.0,Male,75.0,4.0,2.0,Sales Executive,4.0,Divorced,,12278.0,0.0,Y,No,,3.0,4.0,80.0,,16.0,2.0,2.0,,1.0,0.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,No,,1323.0,,2.0,,Life Sciences,1.0,316.0,3.0,Female,89.0,2.0,,Laboratory Technician,4.0,Single,3212.0,3300.0,7.0,Y,No,15.0,3.0,2.0,80.0,0.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0
yes,Yes,Travel_Rarely,318.0,Research & Development,8.0,4.0,Other,1.0,454.0,2.0,Male,77.0,1.0,,Laboratory Technician,1.0,Married,,4759.0,1.0,Y,Yes,,3.0,4.0,80.0,0.0,7.0,,2.0,7.0,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,Yes,Travel_Rarely,806.0,Research & Development,,3.0,Technical Degree,1.0,1299.0,,Female,39.0,3.0,1.0,,3.0,Divorced,3339.0,17285.0,3.0,Y,,13.0,3.0,1.0,,2.0,10.0,2.0,3.0,7.0,7.0,7.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,Yes,Travel_Rarely,59920.0,Research & Development,1160.0,,Medical,,433.0,3.0,,85.0,2.0,2.0,,,Married,4941.0,17747.0,2.0,Y,,15.0,3.0,1.0,,0.0,,3.0,2.0,8.0,2.0,7.0,7.0
,,Travel_Rarely,618.0,Research & Development,4.0,,Life Sciences,1.0,933.0,2.0,Female,76.0,3.0,1.0,,3.0,Single,2318.0,17808.0,,,No,19.0,3.0,,80.0,0.0,,2.0,3.0,1.0,1.0,0.0,0.0
,No,,1009.0,Research & Development,2.0,,,1.0,575.0,1.0,Male,51.0,3.0,4.0,Research Director,3.0,Married,,2288.0,6.0,Y,,13.0,3.0,3.0,80.0,0.0,,2.0,1.0,3.0,,0.0,1.0
yes,No,Travel_Rarely,1291.0,,11.0,3.0,Medical,1.0,1364.0,3.0,Female,98.0,4.0,1.0,Sales Representative,4.0,Married,2534.0,6527.0,,Y,No,14.0,3.0,2.0,,1.0,5.0,4.0,3.0,,0.0,0.0,0.0
,No,,228.0,Sales,3.0,3.0,Life Sciences,,1527.0,3.0,Female,51.0,3.0,4.0,Manager,2.0,Married,,11380.0,8.0,Y,No,12.0,,4.0,80.0,1.0,23.0,2.0,4.0,13.0,12.0,5.0,1.0
Yes ,No,Travel_Rarely,625.0USD,Research & Development,4.0USD,3.0,Medical,,852.0,4.0,Male,50.0,3.0,2.0,Healthcare Representative,,Single,5933.0,5197.0,9.0,Y,,12.0,3.0,,80.0,0.0,10.0,2.0,2.0,5.0,2.0,2.0,3.0
20.0,Yes,,,Sales,2.0,3.0,,1.0,922.0,,Female,49.0,2.0,1.0,Sales Representative,3.0,Single,2044.0,22052.0,1.0,Y,,13.0,,4.0,80.0,,2.0,3.0,2.0,,2.0,0.0,2.0
36.0,No,Travel_Frequently,,Research & Development,4.0,2.0,Life Sciences,1.0,2025.0,4.0,Female,97.0,,2.0,,2.0,,5131.0,9192.0,7.0,Y,No,13.0,3.0,2.0,,3.0,18.0,3.0,,4.0,2.0,0.0,2.0
,Yes,Non-Travel,,Research & Development,29.0,4.0,Life Sciences,1.0,376.0,1.0,Male,88.0,3.0,,Manager,2.0,Married,,10268.0,1.0,Y,Yes,12.0,3.0,,,1.0,10.0,2.0,,10.0,7.0,9.0,9.0
21.0,No,,501.0,Sales,5.0,,Medical,1.0,2021.0,3.0,Male,,,,Sales Representative,1.0,Single,2380.0,,1.0,Y,Yes,11.0,,4.0,,0.0,2.0,6.0,,2.0,2.0,1.0,2.0
23.0,No,Travel_Rarely,160.0,Research & Development,,1.0,,1.0,1735.0,3.0,Female,51.0,,1.0,Laboratory Technician,,,3295.0,,1.0,Y,,13.0,3.0,3.0,80.0,0.0,3.0,3.0,,3.0,2.0,1.0,
59.0,No,Travel_Rarely,1089.0,Sales,1.0,2.0,Technical Degree,1.0,1048.0,2.0,Male,66.0,,3.0,,,Married,,11038.0,3.0,Y,Yes,,3.0,3.0,80.0,1.0,14.0,,1.0,6.0,4.0,0.0,
31.0USD,,Travel_Rarely,746.0USD,Research & Development,8.0USD,4.0,Life Sciences,1.0,98.0,,,,3.0,2.0,Manufacturing Director,4.0,Single,,20682.0,,Y,No,23.0,4.0,4.0,80.0,0.0,11.0,,3.0,11.0,7.0,,8.0
38.0,No,Travel_Rarely,,Sales,1.0,4.0,Life Sciences,1.0,,4.0,Male,86.0,3.0,2.0,Sales Executive,2.0,Married,4440.0,7636.0,0.0,Y,No,15.0,3.0,,,,,3.0,,,13.0,5.0,8.0
36.0USD,No,Travel_Frequently,541.0USD,Sales,3.0USD,4.0,Medical,1.0,481.0,1.0,Male,48.0,2.0,3.0,Sales Executive,4.0,Married,9699.0,7246.0,,Y,No,11.0,3.0,1.0,80.0,,16.0,2.0,3.0,13.0,9.0,1.0,12.0
,No,Travel_Rarely,824.0,Research & Development,5.0,2.0,Life Sciences,1.0,,4.0,Female,67.0,2.0,2.0,Research Scientist,2.0,,5878.0,15624.0,3.0,Y,No,12.0,3.0,1.0,80.0,1.0,12.0,2.0,3.0,7.0,1.0,2.0,
yes,No,Travel_Rarely,1490.0,Research & Development,11.0,,Medical,,2003.0,,Male,,3.0,1.0,Laboratory Technician,3.0,Married,2660.0,,7.0,Y,,11.0,3.0,3.0,80.0,1.0,5.0,3.0,3.0,,,2.0,2.0
53.0,No,Travel_Rarely,447.0,Research & Development,2.0,3.0,,1.0,1472.0,4.0,Male,39.0,4.0,4.0,Research Director,2.0,,16598.0,19764.0,4.0,Y,No,12.0,3.0,2.0,,0.0,35.0,2.0,,9.0,8.0,8.0,8.0
yes,No,Travel_Rarely,168.0,Research & Development,1.0,,Life Sciences,,743.0,3.0,Female,81.0,3.0,3.0,Manufacturing Director,3.0,Single,7861.0,15397.0,4.0,Y,Yes,,,4.0,,0.0,10.0,4.0,4.0,1.0,,0.0,0.0
yes,Yes,Travel_Rarely,,Sales,9.0,,Medical,1.0,1876.0,2.0,Male,,,1.0,Sales Representative,4.0,Single,,16019.0,1.0,,No,13.0,3.0,3.0,80.0,0.0,1.0,3.0,2.0,,0.0,0.0,0.0
2400.0,Yes,Travel_Rarely,59920.0,Sales,1160.0,4.0,Life Sciences,,27.0,3.0,,,2.0,1.0,Sales Representative,1.0,Single,3407.0,6986.0,7.0,Y,No,23.0,4.0,2.0,80.0,0.0,10.0,4.0,,5.0,3.0,0.0,3.0
,No,Travel_Rarely,506.0,Research & Development,3.0,3.0,Technical Degree,1.0,,3.0,Male,30.0,3.0,,Research Scientist,2.0,Single,4485.0,26285.0,4.0,Y,,12.0,3.0,4.0,80.0,,10.0,2.0,3.0,8.0,,7.0,
41.0,No,Travel_Rarely,582.0,Research & Development,28.0,4.0,,1.0,2034.0,1.0,,60.0,2.0,4.0,Manufacturing Director,2.0,Married,,5640.0,0.0,Y,,23.0,4.0,3.0,80.0,1.0,21.0,3.0,,,7.0,0.0,10.0
2400.0,No,,59920.0,Research & Development,1160.0,,,1.0,,3.0,Male,48.0,4.0,3.0,Healthcare Representative,4.0,Divorced,9613.0,10942.0,,Y,No,,3.0,1.0,80.0,3.0,19.0,5.0,,18.0,10.0,3.0,7.0
Yes ,No,Travel_Rarely,1385.0,,20.0,2.0,Medical,1.0,372.0,3.0,Male,79.0,3.0,4.0,Healthcare Representative,4.0,Married,13496.0,,0.0,Y,Yes,14.0,,2.0,80.0,0.0,21.0,2.0,,20.0,7.0,4.0,10.0
35.0,No,Travel_Frequently,853.0,Sales,18.0,5.0,,1.0,74.0,,Male,71.0,,3.0,Sales Executive,1.0,Married,,11031.0,1.0,Y,,22.0,4.0,4.0,,1.0,9.0,3.0,2.0,9.0,8.0,1.0,
26.0,,,,,6.0,3.0,Life Sciences,,,3.0,Female,71.0,,1.0,,4.0,Married,2659.0,17759.0,1.0,,Yes,13.0,3.0,,,,3.0,2.0,3.0,3.0,2.0,0.0,2.0
yes,No,Travel_Rarely,722.0,Research & Development,,4.0,Life Sciences,1.0,1617.0,,Female,84.0,3.0,1.0,,1.0,Married,3211.0,22102.0,,Y,No,14.0,3.0,4.0,80.0,1.0,10.0,3.0,,9.0,,1.0,4.0
35.0,No,Travel_Rarely,1142.0,Research & Development,23.0,4.0,,,75.0,,Female,30.0,,,Laboratory Technician,1.0,Married,4014.0,16002.0,3.0,Y,Yes,15.0,3.0,3.0,80.0,1.0,4.0,3.0,3.0,2.0,,,2.0
yes,No,Travel_Frequently,1216.0,,15.0,4.0,Life Sciences,1.0,,1.0,Male,,3.0,4.0,Research Director,3.0,Married,15787.0,21624.0,,,Yes,14.0,3.0,,80.0,0.0,23.0,3.0,3.0,,2.0,2.0,2.0
nanUSD,,Travel_Rarely,1339.0USD,Research & Development,7.0USD,3.0,Life Sciences,1.0,86.0,,Male,,3.0,,Research Scientist,1.0,Divorced,,18787.0,,Y,,17.0,3.0,3.0,80.0,1.0,25.0,2.0,3.0,,,0.0,0.0
yes,No,Travel_Rarely,241.0,Research & Development,7.0,3.0,Medical,1.0,1609.0,2.0,Male,,2.0,1.0,Research Scientist,2.0,,2141.0,5348.0,,,No,12.0,3.0,2.0,80.0,1.0,6.0,3.0,,6.0,4.0,,1.0
60.0,No,Travel_Rarely,422.0,Research & Development,7.0,3.0,,1.0,549.0,1.0,Female,,,,Manager,,Married,19566.0,,5.0,,No,,3.0,4.0,,0.0,33.0,5.0,1.0,,8.0,11.0,10.0
59.0,No,Non-Travel,1420.0,Human Resources,2.0,4.0,,,140.0,3.0,Female,32.0,,5.0,Manager,4.0,Married,,21922.0,9.0,Y,No,21.0,4.0,4.0,80.0,1.0,30.0,3.0,3.0,3.0,,2.0,2.0
38.0,No,Travel_Frequently,508.0,Research & Development,6.0,4.0,,1.0,1997.0,1.0,Male,72.0,2.0,2.0,Manufacturing Director,,Married,5321.0,14284.0,2.0,Y,No,11.0,3.0,4.0,80.0,1.0,10.0,1.0,3.0,8.0,3.0,,7.0
,Yes,Travel_Frequently,887.0,Research & Development,5.0,2.0,Medical,1.0,848.0,3.0,Female,88.0,2.0,1.0,Research Scientist,3.0,Married,2366.0,20898.0,1.0,Y,Yes,14.0,,1.0,80.0,1.0,8.0,2.0,3.0,8.0,7.0,1.0,7.0
yes,,,1092.0,Research & Development,9.0,3.0,Life Sciences,1.0,812.0,3.0,Male,60.0,2.0,,Laboratory Technician,2.0,Divorced,,26551.0,,Y,,11.0,3.0,3.0,80.0,3.0,,4.0,3.0,1.0,0.0,0.0,0.0
2400.0,No,Travel_Rarely,59920.0,Research & Development,1160.0,1.0,Life Sciences,1.0,1533.0,1.0,,97.0,,2.0,Laboratory Technician,,Single,2272.0,,0.0,Y,No,14.0,3.0,2.0,,0.0,5.0,2.0,3.0,4.0,3.0,1.0,
36.0,No,Non-Travel,1351.0,Research & Development,9.0,,Life Sciences,1.0,1949.0,1.0,,66.0,,1.0,Laboratory Technician,2.0,Married,2810.0,,1.0,Y,No,22.0,,2.0,80.0,0.0,5.0,,3.0,5.0,4.0,0.0,2.0
36.0USD,No,Travel_Rarely,172.0USD,,4.0USD,4.0,Life Sciences,1.0,1435.0,1.0,Male,,,,,4.0,,5810.0,22604.0,1.0,Y,,,3.0,3.0,80.0,0.0,10.0,2.0,2.0,10.0,4.0,1.0,
yes,No,Travel_Rarely,,Research & Development,14.0,3.0,,1.0,1128.0,3.0,Male,44.0,2.0,5.0,Research Director,,Single,,17544.0,1.0,,No,14.0,3.0,1.0,80.0,0.0,21.0,2.0,4.0,,7.0,,9.0
25.0,No,Travel_Rarely,1372.0,Sales,18.0,1.0,Life Sciences,1.0,1399.0,1.0,Male,93.0,,2.0,,3.0,Married,6232.0,12477.0,2.0,Y,No,,3.0,2.0,80.0,,6.0,3.0,2.0,3.0,2.0,,2.0
nanUSD,,Travel_Frequently,1316.0USD,Research & Development,2.0USD,2.0,Life Sciences,,1235.0,4.0,Female,38.0,,2.0,Research Scientist,3.0,Single,4998.0,2338.0,4.0,Y,,14.0,3.0,4.0,80.0,0.0,10.0,2.0,,8.0,7.0,0.0,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,,1115.0,,1.0,4.0,Life Sciences,1.0,77.0,,,51.0,2.0,2.0,Manufacturing Director,3.0,Divorced,5993.0,2689.0,1.0,Y,No,18.0,3.0,,80.0,,7.0,2.0,4.0,,5.0,0.0,7.0
38.0,No,Travel_Rarely,395.0,Sales,9.0,3.0,Marketing,1.0,893.0,,,98.0,2.0,,Sales Representative,2.0,Married,2899.0,,0.0,Y,No,19.0,3.0,4.0,80.0,1.0,3.0,,3.0,2.0,2.0,1.0,2.0
25.0,,Travel_Rarely,685.0,Research & Development,1.0,,Life Sciences,1.0,350.0,,Female,62.0,3.0,2.0,Manufacturing Director,3.0,Married,4898.0,7505.0,0.0,Y,No,,,4.0,80.0,2.0,,,3.0,4.0,2.0,1.0,2.0
Yes ,No,,1405.0,,11.0,2.0,Technical Degree,1.0,1367.0,,,82.0,2.0,4.0,Manufacturing Director,2.0,Single,13142.0,24439.0,3.0,Y,No,16.0,,,,0.0,29.0,1.0,2.0,5.0,2.0,,3.0
34.0,No,Travel_Frequently,702.0,Research & Development,16.0,,Life Sciences,1.0,838.0,3.0,Female,100.0,,1.0,Research Scientist,4.0,Single,2553.0,8306.0,,Y,No,,3.0,3.0,80.0,,6.0,3.0,3.0,5.0,2.0,1.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,No,,580.0,Sales,,,Life Sciences,,729.0,4.0,Male,48.0,,,Sales Executive,1.0,Married,10475.0,23772.0,5.0,Y,Yes,21.0,4.0,3.0,80.0,,20.0,2.0,3.0,18.0,13.0,,12.0
yes,No,Travel_Rarely,401.0,Research & Development,1.0,3.0,Life Sciences,1.0,1447.0,,,86.0,2.0,1.0,Laboratory Technician,2.0,Married,3294.0,3708.0,5.0,Y,No,17.0,3.0,,80.0,1.0,7.0,,,5.0,4.0,0.0,2.0
Yes ,Yes,,1475.0,Sales,,2.0,Marketing,,1933.0,4.0,Female,84.0,,2.0,Sales Executive,3.0,Single,,23352.0,,Y,Yes,11.0,3.0,4.0,80.0,0.0,6.0,0.0,3.0,,0.0,2.0,2.0
35.0,No,Travel_Rarely,755.0,Research & Development,9.0,4.0,Life Sciences,1.0,496.0,3.0,Male,97.0,,2.0,Healthcare Representative,,Single,6540.0,19394.0,9.0,Y,,19.0,3.0,,80.0,0.0,10.0,5.0,,1.0,1.0,0.0,0.0
